Date,Open,High,Low,Close,Volume,Adj Close
2013-07-15,167.970001,168.389999,167.679993,168.149994,69450600,158.296683
2013-07-12,167.389999,167.929993,167.130005,167.509995,104212700,157.694187
2013-07-11,167.110001,167.610001,165.179993,167.440002,135592200,157.628296
2013-07-10,164.970001,165.75,164.630005,165.190002,121410100,155.510143
2013-07-09,164.979996,165.330002,164.270004,165.130005,119298000,155.453661
2013-07-08,163.860001,164.389999,163.080002,163.949997,108092500,154.342799
2013-07-05,162.470001,163.080002,161.300003,163.020004,122416900,153.467303
2013-07-03,160.479996,161.770004,160.220001,161.279999,75216400,151.829259
2013-07-02,161.119995,162.300003,160.50,161.210007,154863700,151.763368
2013-07-01,161.259995,162.479996,161.080002,161.360001,131954800,151.904573
2013-06-28,160.630005,161.399994,159.860001,160.419998,160402900,151.019653
2013-06-27,161.100006,161.820007,160.949997,161.080002,129483700,151.640981
2013-06-26,159.869995,160.50,159.25,160.139999,134848000,150.756061
2013-06-25,158.479996,160.100006,157.419998,158.570007,162262200,149.278068
2013-06-24,157.410004,158.429993,155.729996,157.059998,222329000,147.856542
2013-06-21,159.639999,159.759995,157.470001,159.070007,271956800,149.748769
2013-06-20,161.860001,163.470001,158.979996,159.399994,321255900,149.269583
2013-06-19,165.600006,165.889999,163.380005,163.449997,206149500,153.062195
2013-06-18,164.529999,165.990005,164.520004,165.740005,114695600,155.206666
2013-06-17,164.289993,165.220001,163.220001,164.440002,136295600,153.989282
2013-06-14,164.029999,164.669998,162.910004,163.179993,141197500,152.80935
2013-06-13,161.660004,164.50,161.300003,164.210007,163587800,153.773904
2013-06-12,164.220001,164.389999,161.600006,161.75,177361500,151.470239
2013-06-11,163.300003,164.539993,162.740005,163.100006,159505400,152.734447
2013-06-10,165.309998,165.399994,164.369995,164.800003,105667100,154.326404
2013-06-07,163.850006,164.949997,163.139999,164.800003,188337800,154.326404
2013-06-06,161.199997,162.740005,160.25,162.729996,200225500,152.387952
2013-06-05,163.089996,163.419998,161.130005,161.270004,211737800,151.020748
2013-06-04,164.440002,165.100006,162.729996,163.559998,157631500,153.165205
2013-06-03,163.830002,164.460007,162.660004,164.350006,168390700,153.905006
2013-05-31,165.369995,166.309998,163.130005,163.449997,176850100,153.062195
2013-05-30,165.350006,166.589996,165.220001,165.830002,107793800,155.290943
2013-05-29,165.419998,165.800003,164.339996,165.220001,160363400,154.71971
2013-05-28,167.039993,167.779999,165.809998,166.300003,143679800,155.731074
2013-05-24,164.470001,165.380005,163.979996,165.309998,151573900,154.803986
2013-05-23,164.160004,165.910004,163.940002,165.449997,211064400,154.935088
2013-05-22,167.339996,169.070007,165.169998,165.929993,244031800,155.384579
2013-05-21,167.080002,167.800003,166.50,167.169998,95804200,156.545778
2013-05-20,166.779999,167.580002,166.610001,166.929993,85071200,156.321025
2013-05-17,165.949997,167.039993,165.729996,166.940002,129801000,156.330399
2013-05-16,165.779999,166.360001,165.089996,165.339996,109913600,154.832079
2013-05-15,164.960007,166.449997,164.910004,166.119995,120718500,155.562506
2013-05-14,163.669998,165.350006,163.669998,165.229996,119000900,154.729069
2013-05-13,163.199997,163.809998,162.820007,163.539993,81843200,153.146472
2013-05-10,162.990005,163.550003,162.509995,163.410004,103203000,153.024743
2013-05-09,163.270004,163.699997,162.470001,162.880005,106738600,152.528428
2013-05-08,162.419998,163.389999,162.330002,163.339996,97419200,152.959185
2013-05-07,162.130005,162.649994,161.669998,162.600006,90359200,152.266224
2013-05-06,161.490005,162.009995,161.419998,161.779999,66882100,151.498331
2013-05-03,161.139999,161.880005,159.779999,161.369995,144202300,151.114384
2013-05-02,158.679993,159.889999,158.529999,159.75,96407600,149.597345
2013-05-01,159.330002,159.410004,158.100006,158.279999,138874200,148.220768
2013-04-30,159.270004,159.720001,158.610001,159.679993,116010700,149.531787
2013-04-29,158.669998,159.649994,158.419998,159.300003,88572800,149.175947
2013-04-26,158.330002,158.600006,157.729996,158.240005,95918800,148.183316
2013-04-25,158.339996,159.270004,158.100006,158.520004,131060600,148.44552
2013-04-24,157.830002,158.300003,157.539993,157.880005,96781200,147.846195
2013-04-23,156.949997,157.929993,156.169998,157.779999,166141300,147.752545
2013-04-22,155.779999,156.539993,154.75,156.169998,106553500,146.244865
2013-04-19,154.50,155.550003,154.119995,155.479996,149687600,145.598714
2013-04-18,155.369995,155.410004,153.550003,154.139999,167583200,144.343879
2013-04-17,156.289993,156.320007,154.279999,155.110001,226834800,145.252234
2013-04-16,156.289993,157.490005,155.910004,157.410004,147507800,147.406064
2013-04-15,158.00,158.130005,155.100006,155.119995,217259000,145.261593
2013-04-12,158.679993,159.039993,157.919998,158.800003,116359900,148.707724
2013-04-11,158.699997,159.710007,158.539993,159.190002,110142500,149.072938
2013-04-10,157.169998,158.869995,157.130005,158.669998,135711100,148.585981
2013-04-09,156.50,157.320007,155.979996,156.75,101922200,146.788006
2013-04-08,155.270004,156.220001,154.75,156.210007,86571200,146.282331
2013-04-05,153.949997,155.350006,153.770004,155.160004,159666000,145.299059
